alphaCount,category,coverage,dateCoverage,delay,description,fieldCount,id,name,region,researchPapers,subcategory,themes,universe,userCount,valueScore
536443,"{""id"":""analyst"",""name"":""Analyst""}",0.7222,1.0,1,"This dataset provides intraday updates of consensus financial estimates, actuals, and company guidance for over 16,000 global companies, sourced from more than 800 contributing brokers. It includes multiple daily delta files per region, allowing users to track real-time changes in analyst expectations for key financial metrics such as EPS, sales, dividends, cash flow, and industry-specific items. The dataset also offers daily historical consensus timelines, enabling analysis of estimate revisions, surprises, and trends. By capturing the latest market sentiment and analyst forecasts, this data is highly valuable for predicting price movements, identifying earnings momentum, and responding to market-moving events as they unfold.",653,analyst4,Analyst Estimate Data for Equity,USA,[],"{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}",[],TOP3000,31110,1.0
109998,"{""id"":""fundamental"",""name"":""Fundamental""}",0.4089,,1,"This dataset provides granular financial statement footnote data for publicly traded companies, extracted using advanced XBRL technology. It includes detailed disclosures on items such as goodwill, deferred taxes, share-based compensation, and other key financial metrics not typically found in headline financial tables. By enabling users to drill down into historical and cross-company footnote information, the dataset offers unique insights into accounting policies, risk exposures, and non-standard financial events. Such depth of information can help analysts identify hidden risks, spot trends in corporate behavior, and improve the accuracy of fundamental models for predicting price movements.",318,fundamental2,Report Footnotes,USA,[],"{""id"":""fundamental-footnotes"",""name"":""Footnotes""}",[],TOP3000,27784,1.0
651120,"{""id"":""fundamental"",""name"":""Fundamental""}",0.5,1.0,1,"This dataset provides comprehensive, point-in-time global company fundamental data, capturing daily snapshots of financial statements, balance sheets, cash flows, and key ratios as they were known to the market at each historical date. It includes restatements, amendments, and all changes, ensuring accurate backtesting and minimizing look-ahead bias. The dataset covers a wide range of standardized and normalized financial metrics across regions and industries, making it a critical resource for quantitative research, factor modeling, and alpha generation. By reflecting the true information set available to investors at any given time, it enables robust prediction of price movements and supports the development of systematic investment strategies.",886,fundamental6,Company Fundamental Data for Equity,USA,"[{""type"":""research"",""title"":""Research Paper 03: Cross-Firm Information Flows and the Predictability of Stock Returns"",""url"":""https://support.worldquantbrain.com/hc/en-us/community/posts/14626658089495-Research-Paper-03-Cross-Firm-Information-Flows-and-the-Predictability-of-Stock-Returns""},{""type"":""research"",""title"":""Research Paper 04: Are Cash Flows Better Stock Return Predictors than Profits?"",""url"":""https://support.worldquantbrain.com/hc/en-us/community/posts/14932488666903-Research-Paper-04-Are-Cash-Flows-Better-Stock-Return-Predictors-than-Profits""}]","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}",[],TOP3000,66312,1.0
4620,"{""id"":""model"",""name"":""Model""}",0.5582,1.0,1,"This dataset provides a comprehensive mapping between Bloomberg IDs (BBID) and Reuters Instrument Codes (RIC), facilitating cross-referencing of securities across two major financial data platforms. By enabling seamless integration of data from Bloomberg and Refinitiv, it helps analysts and portfolio managers ensure accurate security identification, streamline data aggregation, and reduce errors in multi-source research workflows. While not directly predictive of price movements, this mapping is essential for robust data management, enabling more reliable analysis and backtesting when combining datasets that use different security identifiers.",24,model16,Fundamental Scores,USA,"[{""type"":""research"",""title"":""Research Paper 01: The Momentum of News"",""url"":""https://support.worldquantbrain.com/hc/en-us/community/posts/13954113156503-Research-Paper-01-The-Momentum-of-News""}]","{""id"":""model-valuation-models"",""name"":""Valuation Models""}",[],TOP3000,2132,1.0
26898,"{""id"":""model"",""name"":""Model""}",0.7724,1.0,1,"This dataset provides a comprehensive suite of risk metrics for optionable US equities, including measures such as beta, correlation, systematic and unsystematic risk, and implied volatility across multiple future time horizons. By quantifying both market-wide and company-specific risks, the dataset enables investors and analysts to assess the sensitivity of individual stocks to broader market movements and to identify potential sources of volatility. These metrics are particularly valuable for constructing risk-aware portfolios, evaluating hedging strategies, and forecasting price movements based on changes in risk profiles. The daily updates and granular coverage make it a powerful tool for dynamic risk management and predictive modeling in equity markets.",16,model51,Systematic Risk Metrics,USA,[],"{""id"":""model-risk-models"",""name"":""Risk Models""}",[],TOP3000,6035,1.0
77939,"{""id"":""model"",""name"":""Model""}",0.8359,1.0,1,"This dataset is a comprehensive library of quantitative alpha factors and multi-factor models designed to predict equity price movements across global markets. It includes over 350 stock selection signals spanning value, momentum, quality, growth, risk, liquidity, sentiment, and industry-specific factors, with coverage across developed, emerging, and frontier markets. The dataset provides factor definitions, cross-sectional rankings, and performance analytics, enabling users to identify key drivers of returns and construct robust, diversified investment models. By systematically evaluating fundamental, technical, and specialty signals, the dataset helps investors uncover persistent sources of excess return and improve portfolio performance through data-driven stock selection and risk management.",3241,model77,Analysts' Factor Model,USA,[],"{""id"":""model-technical-models"",""name"":""Technical Models""}",[],TOP3000,4058,2.0
123813,"{""id"":""news"",""name"":""News""}",0.8034,1.0,1,"This dataset integrates real-time news events and market data to capture the immediate and subsequent price reactions of stocks to a wide range of news and corporate announcements. It includes detailed fields such as news headlines, timestamps, price and volume changes across different trading sessions, analyst actions, earnings surprises, and sector-specific news tags. By quantifying the impact of news on price movements at granular intervals (from seconds to hours), the dataset enables users to identify patterns of underreaction, overreaction, and momentum following news releases. This information is highly valuable for developing event-driven trading strategies, backtesting news-based signals, and enhancing alpha generation by systematically exploiting the relationship between news flow and market behavior.",322,news12,US News Data,USA,[],"{""id"":""news-news"",""name"":""News""}",[],TOP3000,22514,1.0
42177,"{""id"":""news"",""name"":""News""}",0.5,1.0,1,"This dataset provides structured analytics derived from global news sources, focusing on sentiment, event detection, and entity relevance for financial markets. It includes granular sentiment scores for specific events and entities, measures of event novelty and relevance, and a comprehensive taxonomy for classifying news events. The data covers a wide range of entities such as companies, products, people, and macroeconomic factors, and is enriched with metadata like event timing, fact level, and source trustworthiness. By quantifying the tone and impact of news stories, this dataset enables investors and researchers to systematically monitor market sentiment, identify significant events, and generate predictive signals for price movements, making it a valuable tool for quantitative trading, risk management, and alpha generation.",75,news18,Ravenpack News Data,USA,"[{""type"":""research"",""title"":""Research Paper 01: The Momentum of News"",""url"":""https://support.worldquantbrain.com/hc/en-us/community/posts/13954113156503-Research-Paper-01-The-Momentum-of-News""},{""type"":""research"",""title"":""Research Paper 05: Predictability of Industry Returns After M&A Announcements"",""url"":""https://support.worldquantbrain.com/hc/en-us/community/posts/15236009752215-Research-Paper-05-Predictability-of-Industry-Returns-After-M-A-Announcements""}]","{""id"":""news-news-sentiment"",""name"":""News Sentiment""}",[],TOP3000,5313,1.0
110518,"{""id"":""option"",""name"":""Option""}",0.6948,1.0,1,"This dataset provides comprehensive daily volatility metrics for over 2,500 US equities, including both historical and option-implied volatilities across multiple time horizons. It features close-to-close and Parkinson historical volatility calculations, as well as at-the-money implied volatilities for calls, puts, and their averages, spanning durations from 10 to 1080 calendar days. Additionally, it includes skew steepness indicators to capture volatility asymmetries. By analyzing the interplay between historical and implied volatility, as well as volatility skew, traders and quantitative analysts can better anticipate price movements, identify periods of heightened risk, and develop options-based trading strategies that exploit volatility mispricings or forecast market direction.",64,option8,Volatility Data,USA,[],"{""id"":""option-option-volatility"",""name"":""Option Volatility""}",[],TOP3000,22318,1.0
48564,"{""id"":""option"",""name"":""Option""}",0.7039,1.0,1,"This dataset provides comprehensive option-driven metrics for over 2,500 US equities, updated daily using end-of-day market data. It includes put/call ratios based on both trading volume and open interest across multiple future time horizons, forward prices, and breakeven levels for all, call, and put options. These metrics are calculated for constant terms ranging from 10 to 1,080 calendar days, offering granular insights into market sentiment, positioning, and expected price levels. By analyzing shifts in put/call ratios, forward prices, and breakeven points, traders and analysts can gauge investor sentiment, identify potential price inflection points, and enhance predictive models for equity price movements.",74,option9,Options Analytics,USA,[],"{""id"":""option-option-analytics"",""name"":""Option Analytics""}",[],TOP3000,14315,1.0
