category,definition,description,documentation,level,name,scope
Arithmetic,"add(x, y, filter = false), x + y",Adds two or more inputs element wise. Set filter=true to treat NaNs as 0 before summing.,/operators/add,ALL,add,['REGULAR']
Arithmetic,sqrt(x),"Returns the non negative square root of x. Equivalent to power(x, 0.5); for signed roots use signed_power(x, 0.5).",/operators/sqrt,ALL,sqrt,['REGULAR']
Arithmetic,log(x),Calculates the natural logarithm of the input value. Commonly used to transform data that has positive values.,/operators/log,ALL,log,['REGULAR']
Arithmetic,"subtract(x, y, filter=false), x - y",Subtracts inputs left to right: x ? y ? … Supports two or more inputs. Set filter=true to treat NaNs as 0 before subtraction.,/operators/subtract,ALL,subtract,['REGULAR']
Arithmetic,"signed_power(x, y)",x raised to the power of y such that final result preserves sign of x,/operators/signed_power,ALL,signed_power,['REGULAR']
Arithmetic,sign(x),"Returns the sign of a number: +1 for positive, -1 for negative, and 0 for zero. If the input is NaN, returns NaN.

Input: Value of 7 instruments at day t: (2, -3, 5, 6, 3, NaN, -10)
Output: (1, -1, 1, 1, 1, NaN, -1)",/operators/sign,ALL,sign,['REGULAR']
Arithmetic,reverse(x), - x,,ALL,reverse,['REGULAR']
Arithmetic,"power(x, y)",x ^ y,/operators/power,ALL,power,['REGULAR']
Arithmetic,"multiply(x ,y, ... , filter=false), x * y",Multiplies two or more inputs element wise. Set filter=true to treat NaNs as 0 before multiplication,/operators/multiply,ALL,multiply,['REGULAR']
Arithmetic,"min(x, y ..)",Minimum value of all inputs. At least 2 inputs are required,/operators/min,ALL,min,['REGULAR']
Arithmetic,"max(x, y, ..)",Maximum value of all inputs. At least 2 inputs are required,/operators/max,ALL,max,['REGULAR']
Arithmetic,inverse(x),1 / x,,ALL,inverse,['REGULAR']
Arithmetic,densify(x),Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient,/operators/densify,ALL,densify,['REGULAR']
Arithmetic,abs(x),"Returns the absolute value of a number, removing any negative sign.",/operators/abs,ALL,abs,['REGULAR']
Arithmetic,"divide(x, y), x / y",x / y,,ALL,divide,['REGULAR']
Logical,"and(input1, input2)","Returns 1 ('true') if both inputs are 1 ('true'). Otherwise, returns 0 ('false').",,ALL,and,['REGULAR']
Logical,input1 == input2,"Returns 1 ('true') if input1 and input2 are the same. Otherwise, returns 0 ('false').",,ALL,equal,['REGULAR']
Logical,"or(input1, input2)","Returns 1 if either input is true (either input1 or input2 has a value of 1), otherwise it returns 0.",,ALL,or,['REGULAR']
Logical,input1!= input2,"Returns 1 ('true') if input1 and input2 are different numbers. Otherwise, returns 0 ('false').",,ALL,not_equal,['REGULAR']
Logical,not(x),Returns the logical negation of x. Returns 0 when x is 1 (‘true’) and 1 when x is 0 (‘false’).,,ALL,not,['REGULAR']
Logical,input1 > input2,"Returns 1 ('true') if input1 is a larger than input2. Otherwise, returns 0 ('false').",,ALL,greater,['REGULAR']
Logical,input1 >= input2,"Returns 1 ('true') if input1 is a larger or the same as input2. Otherwise, returns 0 ('false').",,ALL,greater_equal,['REGULAR']
Logical,input1 <= input2,"Returns 1 ('true') if input1 is a smaller or the same as input2. Otherwise, returns 0 ('false').",,ALL,less_equal,['REGULAR']
Logical,is_nan(input),If (input == NaN) return 1 else return 0,/operators/is_nan,ALL,is_nan,['REGULAR']
Logical,"if_else(input1, input2, input 3)","The if_else operator returns one of two values based on a condition. If the condition is true, it returns the first value; if false, it returns the second value.",/operators/if_else,ALL,if_else,['REGULAR']
Logical,input1 < input2,"Returns 1 ('true') if input1 is a smaller than input2. Otherwise, returns 0 ('false').",,ALL,less,['REGULAR']
Time Series,"ts_sum(x, d)",Sum values of x for the past d days.,,ALL,ts_sum,['REGULAR']
Time Series,"ts_zscore(x, d)","Calculates the Z-score of a time series, showing how far today's value is from the recent average, measured in standard deviations. Useful for standardizing and comparing values over time.",/operators/ts_zscore,ALL,ts_zscore,['REGULAR']
Time Series,"ts_std_dev(x, d)","Calculates the standard deviation of a data series x over the past d days, measuring how much the values deviate from their mean during that period.",/operators/ts_std_dev,ALL,ts_std_dev,['REGULAR']
